id;country;city;postcode
1;Philippines;Mitchellchester;Human Quality Frozen
2;British Indian Ocean Territory (Chagos Archipelago);Manteburgh;index experiences bypassing
3;Equatorial Guinea;Zemlakview;optical Michigan
4;Turks and Caicos Islands;West Deliaview;web-readiness copy
5;Montserrat;Port Naomiberg;Kids
6;Bosnia and Herzegovina;Ponce;Awesome
7;Nicaragua;Huelshaven;Ports China
8;South Georgia and the South Sandwich Islands;Manuelaburgh;Incredible Applications Pizza
9;Ecuador;South Shirley;grow orchid Leone
10;Mexico;East Darienchester;synthesizing
