id;brand;model;vin
1;kaleidoscopic the backburn;courtroom awful or;merrily but awXXX
2;daily idle;rusty an;silently metalXXX
3;husband front gloomy;optimistically snack barring;lestXXXXXXXXXXXXX
4;ha bug excluding;curiously swat;store able colise
5;instead yahoo successfully;ugh;barringXXXXXXXXXX
6;numeric;only sandbar disappointment;phonyXXXXXXXXXXXX
7;but unlike;warp;meh oofXXXXXXXXXX
8;lest ha curiously;wherever bookend;kookily prioritiz
9;allegation gadzooks;hawk;mid ew gadzooksXX
10;until though;at as hmph;merit an horseXXX
